Housing,BodyWeight.end,BodyWeight.start,BrainWeight,AdrenalWeight,LiverWeight,HeartWeight,BodyLength,BrdU,Ki67,Neurons,Astrocytes,Cholesterol,log.corticosterone,Glucose,log.triglycerides,Hippocampus,DG,IMF,SMF,Hilus,EntorhinalCortex,CingulateCortex,MotorCortex,NOR.DI,NOR.exploration.T1,NOR.exploration.T2,NOR.exploration.T3,NOR.exploration.T4,NOR.exploration.T5,Rotarod.MeanDuration,OF.RE.T1,OF.RE.T2,OF.habituation,OF.CenterDuration.T1,OF.CenterDuration.T2
CTRL,21.7,16.81,0.5,52,0.91,0.1,9.5,104,160,443,119,0.8760327239,11.3598838936,22.6922441567,-1.0421907922,9.70808,1.92975,5.4375,34.3675,32.8125,613.3795,1117.4688333333,796.40845,-0.2458995754,6.8,1.06667,2.033326,0.766666,2.69999,73,0.8181891801,0.6847516878,0.1334374923,53.1666,23.9333
ENR,20.9,17.35,0.49,51,0.92,0.11,9.85,208,258,998,150,1.0534282752,12.0309466333,14.6776101283,-0.3617667034,10.3204,2.13417,5.7425,36.07,38.9175,694.958,1138.2158333333,819.3191240091,0.4771782063,5.1,1.43333,8.03333,2.46666,12.13332,167,0.8607232727,0.7245148581,0.1362084147,52.7999,31.2666
ENR,22.5,19.84,0.5,51,0.98,0.13,9.8,274,217,1425,157,1.0554008976,11.9381485216,15.581330223,-1.2224554133,9.57832,1.95838,7.52,35.7125,33.4875,742.2238333333,1117.2731666667,917.0501666667,0.7767511402,26.86659,42.56659,43.29993,0.066666,17.33336,203,0.8696560121,0.709141419,0.160514593,72.2333,19.9333
ENR,21.1,16.94,0.49,51,0.95,0.11,9.75,169,237,629,203,0.972734482,11.1717293459,20.7192791984,-0.3392345062,10.0482,2.07057,5.5125,34.1525,37.855,766.6216666667,1119.3066666667,846.9562666667,-1,12.8667,1.4,2,4.89999,1.4,172,0.8989949517,0.6990925454,0.1999024063,76.8333,25.5333
CTRL,23.8,18.48,0.48,54,0.97,0.13,10.1,177,241,814,186,1.1259173905,11.4159955575,26.0382037075,-0.7700234914,9.3982,1.90878,5.815,32.4,30.795,738.5905,1138.76675,NA,-0.4047606548,6.39999,1.599998,2.799993,0.933333,0.999999,46,0.8978878493,0.8043816186,0.0935062307,67.2666,43.6
CTRL,23,17.51,0.48,52,1.09,0.13,9.65,167,191,762,120,1.1422739886,11.6530771855,23.7746767988,-0.7124902263,9.82642,2.08457,7.9125,36.88,32.735,832.63425,1164.4938333333,807.5522333333,NA,3.8,1.06667,0,2.2,4.3,79,0.84021238,0.7358299434,0.1043824366,52.5999,26.1
CTRL,22.4,17.85,0.49,48,0.79,0.12,9.8,100,256,350,171,1.1352895772,12.0352473834,14.3886900781,-1.0976156141,9.8254,1.94307,7.7625,36.63,31,860.9965,1165.098,891.6846333333,-1,8.23332,1.966669,1.63333,0.366667,1.33333,29,0.9149974704,0.8114492791,0.1035481913,53.3666,32.9
ENR,21.9,18.74,0.5,53,0.66,0.14,9.85,336,167,1751,200,0.7262464334,10.5690236192,16.148192233,-1.1296779306,10.4005,2.1855,6.1175,30.6225,33.8675,597.576,1277.874,994.0502333333,NA,12.26667,20.1333,0,0.266666,0.899999,176,0.8386608039,0.7072071942,0.1314536097,107.133,21.1333
ENR,20.7,16.74,0.46,51,0.97,0.11,9.55,264,337,1408,114,0.9598029214,11.0362394627,27.4303227541,-0.6031623506,9.00815,1.87688,6.4925,36.45,33.315,607.5445,987.0125,NA,0.2255308719,37.29993,8.4,39.1667,17.80003,9.46666,151,0.8133796406,0.4450422177,0.3683374228,69.0666,7.36666
ENR,22,18.72,0.51,45,0.99,0.12,9.95,203,279,1107,74,1.0740787557,11.6787607563,19.7251517038,-1.140262087,8.1496,1.75485,7.165,29.9125,25.1375,586.85275,1108.6779166667,828.1781,NA,0,0,3.03333,0,0,194,0.8156383098,0.5105100484,0.3051282614,36.6,8.19999
ENR,21.5,18.55,0.47,43,1.11,0.11,9.55,236,261,1345,14,0.7087889737,11.5944688034,17.8908065855,-0.7776634412,7.87185,1.5387,6.6225,30.94,32.48,495.3386666667,1162.2845,759.0270666667,1,21.99993,0,24.5333,2.23333,0,190,0.8569162731,0.4376748909,0.4192413823,55.1999,4.46666
ENR,19.2,16.59,0.47,49,0.71,0.105,9.45,183,323,933,110,0.8922267015,11.3033628262,18.0415389038,-0.8656791506,9.25382,1.91088,7.21,34.755,33.925,672.659,1183.4635,803.7283192308,-1,20.3,0,1.2,12.0333,3.86667,149,0.7755938103,0.5510459927,0.2245478176,31.2333,10.3
CTRL,24.3,17.86,0.48,55,NA,0.11,9.85,118,221,524,156,1.3544131994,11.1980678614,34.6747061653,-0.6709697158,9.20423,1.9005,5.34,34.755,30.1025,665.2946666667,NA,822.7427666667,-1,6.46666,2.333326,0.766665,1.633337,0.566666,79,0.8416838887,0.6677546625,0.1739292262,40.1,14.1667
CTRL,24.1,17.87,0.5,53,0.95,0.1,9.9,138,341,431,315,0.9683035227,11.1589667331,14.5145456071,-1.0908412158,9.59922,2.05813,7.2375,30.3225,33.8625,668.8723333333,1156.3856666667,822.156,NA,4.8,1.43333,0,0,0,111,0.8356059367,0.7083871643,0.1272187724,35,11.9667
CTRL,24.1,17.27,0.47,42,1.03,0.12,9.75,87,173,402,78,1.2025054239,11.1962051073,27.6238152894,-0.5529587462,9.0313,1.80307,5.5625,29.445,32.0675,606.1725,1013.3420833333,834.8118,1,9.06665,0.733333,0.1,0.333333,0,62,0.9143191819,0.7912892168,0.1230299651,105.5,23.3333
CTRL,21.6,16.44,0.48,44,0.88,0.11,9.5,78,316,351,61,1.1921136462,11.2888682873,15.0828330009,-0.7813219156,8.26593,1.58133,5.5875,28.99,31.5125,866.04325,1068.9651666667,751.0231,-0.3968238095,7.99999,2.099996,4.2,5.93333,3.5,74,0.8855436598,NA,NA,60.7999,NA
CTRL,22.4,17.77,0.49,59,0.86,0.12,9.7,100,236,434,103,0.9189095091,11.4401918093,9.4755428213,-1.3323457081,9.51988,1.95035,5.5575,32.9375,30.3075,555.9965,1185.0115,887.5153666667,1,8.23333,1.4,0.833333,0,1.2,91,0.9043179578,0.7495980919,0.1547198658,75.5333,20.6666
CTRL,20.8,15.49,0.48,44,0.905,0.1,9.4,131,156,665,76,1.4898349867,11.305225639,22.7713834843,-1.0494828009,8.86308,1.74265,7.1775,38.6225,32.2325,722.721,1136.4481666667,825.7746666667,0.6666671569,7.66666,2.399996,6.79999,9.63333,7.19999,87,0.8625388447,NA,NA,53.1999,NA
ENR,21.4,18.39,0.49,52,0.91,0.105,9.7,247,230,1156,237,0.9714249474,11.3396126579,34.310971835,-0.9109976773,7.68048,1.61082,5.3225,43.8725,30.6275,674.71,1168.1501666667,843.8027555556,1,5.99999,12.56666,1.66666,19.29996,2.06667,129,0.8141128439,0.5722236073,0.2418892366,67.5999,8.49999
ENR,19.6,16.82,0.47,50,0.76,0.11,9.4,218,264,1081,151,1.1572054739,10.9701358409,33.1598798215,-0.9331946235,9.1996,1.93445,5.895,29.7375,29.2475,769.034,1129.8128333333,838.5418333333,-1,20.73333,0,0.666666,0,0,158,0.6647776337,0.4436007243,0.2211769094,26.7333,3.89999
ENR,20.2,18.51,0.49,42,0.89,0.12,9.55,230,358,1187,69,0.7779841924,11.4824793845,12.0281094716,-1.3717979844,9.27328,1.8838,5.9075,31.355,34.595,602.3911666667,1056.1163333333,850.0661,1,0.833332,8.63332,4.4,0,8.99999,205,0.8399713963,0.5413213288,0.2986500675,49.9,7.66666
ENR,23.7,19.39,0.49,54,0.88,0.1,10.05,169,259,893,103,1.0322107691,11.1221869636,30.8593046423,-0.7826842037,8.63315,1.73305,6.435,34.415,32.3325,539.3913333333,1192.3378333333,855.4571,1,5.26666,2.36667,1.63333,0.833333,0,135,0.7463847762,0.7118206182,0.0345641579,17.9666,14.2
CTRL,23,19.91,0.48,47,0.84,0.11,9.85,145,216,680,123,1.0643323457,11.0908702074,27.9860111199,-0.8269537898,6.8583,1.37792,3.745,38.64,25.4875,673.0800833333,1109.8058333333,760.0787,-0.1296277778,12.59999,6.299996,3.6,2.9,6.3,98,0.8737971066,NA,NA,62.2666,NA
ENR,20.8,16.65,0.48,58,0.95,0.13,9.75,237,281,1209,171,1.1746903668,11.2116298071,19.1843672895,-0.6243582238,9.20625,1.95823,6.62,36.6275,35.355,650.4848333333,1152.638,785.3525333333,-1,22.9,17.066634,1.63333,1.8,8.23332,118,0.7905399258,0.5218515941,0.2686883317,26.8333,13.1667
ENR,22.4,18.01,0.49,54,1.01,0.12,10,249,270,1360,120,0.8629424972,11.961341201,23.4540033339,-1.4105447443,9.16282,2.0293,5.675,30.855,25.645,757.3365833333,1209.959,795.7292666667,NA,15.96663,0,0,2.533333,0,147,0.8343101326,0.3945721719,0.4397379608,46.2,1.23333
ENR,21.4,17.41,0.5,46,0.91,0.14,9.75,294,278,1464,212,0.8828858152,11.0723211934,21.2571543765,-0.9175546127,10.6364,2.16228,7.395,45.8,37.465,787.562375,1201.834,847.9045,NA,17.0667,4.3,0,0.799999,8.66665,147,0.8632135747,0.631113525,0.2321000497,65.3666,19.2
CTRL,20.5,14.84,0.48,53,0.79,0.1,9.2,141,335,645,115,0.8531961755,11.3230970001,25.0032680177,-0.8571342847,8.12785,1.73878,5.2875,34.5975,26.835,595.437,1200.5308333333,835.1097277778,-1,6.06666,0.766666,0.2,0,4.8,123,0.8364209071,0.5357016341,0.300719273,48.7666,4.13333
ENR,21,17.31,0.5,39,0.75,0.1,9.8,225,267,1241,62,0.518382485,11.0801925013,18.9734824169,-1.33531659,6.9435,1.37435,5.9475,27.155,25.2575,NA,1258.2468333333,822.1583,0.1853932584,38.26659,18.43336,35.6,29.1333,12.26665,123,0.8550041245,0.7384381357,0.1165659888,61.6666,17.3
CTRL,21.1,17.48,0.49,48,0.78,0.11,9.7,108,165,488,91,1.1746286637,10.9510496556,23.9488344321,-0.8134790919,9.125,1.8315,4.8075,31.07,28.4325,629.4933333333,1126.2848333333,818.71655,0.0430105186,15.19996,1.966665,12.39999,1.8,2.399994,41,0.7677644221,NA,NA,29.9,NA
CTRL,22.1,17.05,0.5,44,0.95,0.12,9.8,122,422,611,78,1.0696565662,11.8479535986,21.723647625,-1.0207775815,8.8461,1.88955,4.785,31.185,31.7425,628.4866666667,1104.521,796.4885333333,0.5172419501,8.86665,1.966666,1.933337,0,2.766659,116,0.8655564567,0.7945211296,0.0710353272,82.4333,39.6666
ENR,21.7,18.38,0.49,49,0.96,0.13,9.85,283,282,1321,168,0.8706722545,11.2881364294,19.9657392452,-0.432379653,9.49302,2.013,8.005,45.09,36.85,553.7265,1158.6450833333,865.8371,0.0537646896,15.26663,0,3.09999,4.63333,0,249,0.8576781258,0.6026676316,0.2550104942,64.4333,18.3
ENR,21.3,18.23,0.49,43,0.94,0.12,9.65,265,283,1445,73,0.7774190563,11.274300283,18.3382351672,-0.7928894203,9.0731,1.86488,8.115,35.405,35.0725,649.314,1067.587,796.0391666667,0.9253729906,21.79996,2.466666,4.466667,0,1.699997,156,0.8324209685,0.667384802,0.1650361664,33.3666,20.5333
CTRL,23,17.46,0.49,50,1.07,0.095,9.85,143,347,566,137,0.946936077,10.5263685109,24.9514269163,-0.6231174252,9.84392,2.0292,5.7275,34.8825,35.185,790.5733333333,1122.9386666667,772.7058666667,0.2499991477,19.3,3.46666,2.93333,1.866665,4.5,78,0.829870705,0.7440681489,0.0858025561,74.7999,36
CTRL,24.4,17.7,0.49,42,1.12,0.12,9.75,77,197,291,125,0.9542143018,11.8148409915,23.9048871413,-0.6764147499,9.56895,1.98137,7.2525,33.8675,32.29,772.6365,NA,751.9365,0.2777777778,14.19996,5.1,3.6,9.46666,5.93333,63,0.8336669537,0.83570672,-0.0020397663,39.2666,34.4333
CTRL,22.7,18.11,0.49,57,1.04,0.12,9.8,130,204,603,124,1.0028129618,10.7712287701,23.2377191437,-0.5357985278,9.27178,1.84905,6.4975,33.69,31.1325,574.11825,1062.82,871.614,0.1789482327,9.93332,3.366659,3.16667,1.633336,1.1,61,0.8532937674,0.7759330015,0.0773607659,32.6333,34.3
CTRL,22.7,18.16,0.49,55,1,0.1,9.9,141,294,679,104,1.2969702059,10.8171155438,32.5805083402,-0.2172849093,7.75045,1.53802,4.935,38.1675,26.305,669.6891666667,1140.564,806.2246333333,0.2758608204,10.66665,4.43333,3.86666,3.23333,10.36666,86,0.8308245663,0.6641807902,0.1666437761,38.8333,11.9333
